"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"K.f",0.09248,FALSE,FALSE,FALSE,0.117749326330237,FALSE,FALSE,0.0524814402512021,FALSE,FALSE,0.289566253665967,FALSE,FALSE,0.241554333592413,FALSE,FALSE,0.8933886006032,FALSE,FALSE,0.978324227136585
"K.g",0.01147,TRUE,FALSE,TRUE,0.0010176118004105,FALSE,TRUE,0.000323828454866127,FALSE,TRUE,0.020517651020557,FALSE,TRUE,0.0130113154897922,FALSE,FALSE,0.366965597173267,FALSE,FALSE,0.410425071488979
"K.h",0.1136,FALSE,FALSE,TRUE,0.0043776990813148,FALSE,FALSE,0.546024964256505,FALSE,TRUE,0.0405605851070207,FALSE,FALSE,0.954041737536733,FALSE,FALSE,0.436756943319967,FALSE,FALSE,0.454659499856601
"K.i",0.05033,FALSE,FALSE,FALSE,0.12330880374549,FALSE,FALSE,0.381343208273805,FALSE,FALSE,0.307523695219266,FALSE,FALSE,0.247907968483663,FALSE,FALSE,0.228662734963405,FALSE,FALSE,0.148478354717505
"K.j",0.05727,FALSE,FALSE,TRUE,0.0014655760197006,FALSE,FALSE,0.0806020270261049,FALSE,TRUE,0.0246253700627928,FALSE,FALSE,0.303973936243071,FALSE,FALSE,0.315200333975577,FALSE,FALSE,0.900413351145263
"L.a",0.04284,FALSE,FALSE,FALSE,0.127676528909873,FALSE,FALSE,0.697123869853544,FALSE,FALSE,0.303436647303704,FALSE,FALSE,0.917372349697974,FALSE,FALSE,0.893710565219192,FALSE,FALSE,0.439480414622475
"L.b",0.21264,FALSE,FALSE,TRUE,0.0111742394272409,FALSE,TRUE,0.00313263725885106,FALSE,FALSE,0.0702908279077583,FALSE,TRUE,0.0460701625441755,FALSE,FALSE,0.396311585769858,FALSE,FALSE,0.424956507440352
"L.c",0.21466,FALSE,FALSE,TRUE,3.11421213121589e-36,FALSE,TRUE,4.31779556083751e-24,FALSE,TRUE,8.42161255111255e-21,FALSE,TRUE,4.09888131772159e-14,FALSE,TRUE,6.33492752110147e-08,FALSE,TRUE,9.89859869113218e-06
"L.d",0.08425,FALSE,FALSE,TRUE,2.11573791741834e-08,FALSE,TRUE,0.00468441706215134,FALSE,TRUE,3.81536745940049e-05,FALSE,FALSE,0.0631815187695753,FALSE,TRUE,0.0485531699193176,FALSE,FALSE,0.615131276998863
"L.e",0.05415,FALSE,FALSE,TRUE,2.92501379135665e-14,FALSE,TRUE,7.84420932237167e-10,FALSE,TRUE,2.92861572405759e-08,FALSE,TRUE,8.13252333073878e-06,FALSE,TRUE,0.00257379332122348,FALSE,TRUE,0.0195619611287704
"L.f",0.0523,FALSE,FALSE,TRUE,0.0303027780152531,FALSE,TRUE,0.00776301250534216,FALSE,FALSE,0.13441848415758,FALSE,FALSE,0.0847946414690772,FALSE,FALSE,0.629346894703748,FALSE,FALSE,0.653457385017499
"L.g",0.27877,TRUE,FALSE,FALSE,0.0829962794903317,FALSE,FALSE,0.182393145789614,FALSE,FALSE,0.202909605242571,FALSE,FALSE,0.456012732026208,FALSE,FALSE,0.517954412687227,FALSE,FALSE,0.890753266280349
"L.h",0.10552,FALSE,FALSE,FALSE,0.29063497807364,FALSE,FALSE,0.679842475330152,FALSE,FALSE,0.488070121491397,FALSE,FALSE,0.452327487332198,FALSE,FALSE,0.352082379516337,FALSE,FALSE,0.261564073872968
"L.i",0.03217,FALSE,FALSE,TRUE,3.07683379875853e-18,FALSE,TRUE,2.51665028992239e-16,FALSE,TRUE,3.90204076519449e-11,FALSE,TRUE,6.20815667612974e-10,FALSE,TRUE,0.000517128742322121,FALSE,TRUE,0.00162073698973906
