Backbone tree,Clade,No. of tips,Age (stem),Age (crown),Speciation,Extinction,Fraction,Net Div.
S,g,57,30.284,29.182,0.10642,0.00608,0.05711,0.10034
S,h,13,30.284,8.344,0.15198,0.07297,0.48012,0.07901
S,i,13,43.362,21.718,0.1849,0.11506,0.62228,0.06984
S,j,48,43.362,37.128,0.10405,0.02838,0.27277,0.07567
T,a,1302,69.125,61.43,0.14195,0.03472,0.24457,0.10724
T,b,55,24.3,16.985,0.24128,0.11256,0.46652,0.12872
T,c,146,24.3,21.661,0.25557,0.11171,0.4371,0.14386
T,d,17,26.644,12.997,0.15402,0.02953,0.19175,0.12449
T,e,181,26.644,26.501,0.18988,0.01325,0.06976,0.17663
T,f,121,60.405,52.765,0.14109,0.07,0.49614,0.07109
T,g,69,58.813,32.774,0.28261,0.23715,0.83914,0.04546
T,h,318,58.813,38.99,0.25375,0.1511,0.59548,0.10265
T,i,105,19.96,16.524,0.25584,0.01555,0.06076,0.2403
T,j,29,19.96,15.588,0.14981,0.03733,0.24919,0.11248
