,,,,,,,,,"Net diversiffication, speciation, extinction,  number of shifts, and effective sample sizes estimated using BAMM",,,,,,,,,,,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (stem-group age),,,,,,,,,,,,,,,,,,Net diversiffication rates estimated using MS estimators (crown-group age),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simulated trees,,,,,Simulated rates,,,,Taxon sampling = 100%,,,,,,,Effective sample size,,Taxon sampling = 50%,,,,,,,Effective sample size,,Taxon sampling = 25%,,,,,,,Effective sample size,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,Taxon sampling = 100%,,,,,,Taxon sampling = 50%,,,,,,Taxon sampling = 25%,,,,,,,,,,,,,,,,,,,,,,,,,,
Backbone tree,Clade,No. of tips,Age (stem),Age (crown),Speciation,Extinction,Fraction,Net Div.,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,Net Div.,(Error),Speciation,(Error),Extinction ,(Error),No. of Shifts ,Rate shifts,Log-likelihood,epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),epsilon = 0,(Error),epsilon = 0.5,(Error),epsilon = 0.9,(Error),,,,,,,,,,,,,,,,,,,,,
,i,12,52.988,44.565,0.05298,0.03307,0.62424,0.01991,0.05486,175.57%,0.07284,37.50%,0.01798,-45.62%,,3803,3152,0.05456,174.06%,0.07313,38.04%,0.01857,-43.84%,,4222,1948,0.05392,170.87%,0.16259,206.92%,0.10867,228.62%,,235,177,0.04690,135.58%,0.03533,77.45%,0.01400,-29.66%,0.04690,135.58%,0.03533,77.45%,0.01400,-29.66%,0.04690,135.58%,0.03533,77.45%,0.01400,-29.66%,0.04021,101.97%,0.03532,77.44%,0.01545,-22.41%,0.04021,101.97%,0.03532,77.44%,0.01545,-22.41%,0.04021,101.97%,0.03532,77.44%,0.01545,-22.41%,,,,,,,,,,,,,,,,,,,,,
,j,400,93.1,91.891,0.08680,0.02796,0.32211,0.05884,0.05469,-7.06%,0.07162,-17.49%,0.01693,-39.43%,,3803,3152,0.05426,-7.79%,0.06528,-24.80%,0.01102,-60.58%,,4222,1948,0.04704,-20.06%,0.11236,29.45%,0.06532,133.64%,,235,177,0.06436,9.37%,0.05694,-3.24%,0.03986,-32.26%,0.06436,9.37%,0.05694,-3.24%,0.03986,-32.26%,0.06436,9.37%,0.05694,-3.24%,0.03986,-32.26%,0.05766,-2.01%,0.05455,-7.29%,0.03983,-32.31%,0.05766,-2.01%,0.05455,-7.29%,0.03983,-32.31%,0.05766,-2.01%,0.05455,-7.29%,0.03983,-32.31%,,,,,,,,,,,,,,,,,,,,,
B,a,88,29.685,26.506,0.15661,0.00593,0.03787,0.15068,0.11121,-26.20%,0.13062,-16.59%,0.01942,227.44%,5,1730,2597,0.11487,-23.77%,0.18760,19.79%,0.07273,1126.42%,4,4021,1526,0.09166,-39.17%,0.20211,29.06%,0.11046,1762.62%,4,595,295,0.15083,0.10%,0.12786,-15.14%,0.07654,-49.20%,0.15083,0.10%,0.12786,-15.14%,0.07654,-49.20%,0.15083,0.10%,0.12786,-15.14%,0.07654,-49.20%,0.14277,-5.25%,0.13229,-12.20%,0.08378,-44.40%,0.14277,-5.25%,0.13229,-12.20%,0.08378,-44.40%,0.14277,-5.25%,0.13229,-12.20%,0.08378,-44.40%,,,,,,,,,,,,,,,,,,,,,
,b,14,29.685,13.038,0.12921,0.09575,0.74103,0.03346,0.11057,230.43%,0.12972,0.39%,0.01915,-80.00%,,1730,2597,0.10577,216.10%,0.17325,34.09%,0.06748,-29.52%,,4021,1526,0.08242,146.30%,0.18336,41.91%,0.10095,5.43%,,595,295,0.08890,165.68%,0.06788,102.85%,0.02806,-16.15%,0.08890,165.68%,0.06788,102.85%,0.02806,-16.15%,0.08890,165.68%,0.06788,102.85%,0.02806,-16.15%,0.14925,346.04%,0.13183,293.97%,0.05980,78.72%,0.14925,346.04%,0.13183,293.97%,0.05980,78.72%,0.14925,346.04%,0.13183,293.97%,0.05980,78.72%,,,,,,,,,,,,,,,,,,,,,
,c,37,28.673,26.684,0.15865,0.07233,0.45588,0.08633,0.11660,35.07%,0.13797,-13.04%,0.02136,-70.47%,,1730,2597,0.18741,117.09%,0.21917,38.15%,0.03177,-56.08%,,4021,1526,0.19197,122.37%,0.22749,43.39%,0.03552,-50.89%,,595,295,0.12593,45.88%,0.10269,18.95%,0.05322,-38.35%,0.12593,45.88%,0.10269,18.95%,0.05322,-38.35%,0.12593,45.88%,0.10269,18.95%,0.05322,-38.35%,0.10935,26.66%,0.09945,15.20%,0.05524,-36.01%,0.10935,26.66%,0.09945,15.20%,0.05524,-36.01%,0.10935,26.66%,0.09945,15.20%,0.05524,-36.01%,,,,,,,,,,,,,,,,,,,,,
,d,648,28.673,26.012,0.19289,0.01218,0.06315,0.18071,0.17878,-1.07%,0.20009,3.73%,0.02130,74.90%,,1730,2597,0.18115,0.24%,0.21227,10.04%,0.03111,155.43%,,4021,1526,0.18634,3.12%,0.22117,14.66%,0.03482,185.87%,,595,295,0.22578,24.94%,0.20166,11.59%,0.14596,-19.23%,0.22578,24.94%,0.20166,11.59%,0.14596,-19.23%,0.22578,24.94%,0.20166,11.59%,0.14596,-19.23%,0.22224,22.98%,0.21123,16.89%,0.15892,-12.06%,0.22224,22.98%,0.21123,16.89%,0.15892,-12.06%,0.22224,22.98%,0.21123,16.89%,0.15892,-12.06%,,,,,,,,,,,,,,,,,,,,,
,e,243,20.356,19.494,0.22574,0.02190,0.09702,0.20384,0.18914,-7.21%,0.24981,10.66%,0.06067,177.01%,,1730,2597,0.17997,-11.71%,0.21122,-6.43%,0.03125,42.68%,,4021,1526,0.18554,-8.98%,0.22073,-2.22%,0.03519,60.66%,,595,295,0.26985,32.38%,0.23600,15.78%,0.15852,-22.23%,0.26985,32.38%,0.23600,15.78%,0.15852,-22.23%,0.26985,32.38%,0.23600,15.78%,0.15852,-22.23%,0.24622,20.79%,0.23165,13.64%,0.16289,-20.09%,0.24622,20.79%,0.23165,13.64%,0.16289,-20.09%,0.24622,20.79%,0.23165,13.64%,0.16289,-20.09%,,,,,,,,,,,,,,,,,,,,,
,f,186,20.356,18.843,0.25271,0.07502,0.29684,0.17770,0.19015,7.01%,0.25216,-0.22%,0.06200,-17.35%,,1730,2597,0.18043,1.54%,0.21211,-16.07%,0.03167,-57.78%,,4021,1526,0.18675,5.09%,0.22294,-11.78%,0.03619,-51.76%,,595,295,0.25672,44.47%,0.22293,25.45%,0.14592,-17.88%,0.25672,44.47%,0.22293,25.45%,0.14592,-17.88%,0.25672,44.47%,0.22293,25.45%,0.14592,-17.88%,0.24055,35.37%,0.22554,26.92%,0.15491,-12.82%,0.24055,35.37%,0.22554,26.92%,0.15491,-12.82%,0.24055,35.37%,0.22554,26.92%,0.15491,-12.82%,,,,,,,,,,,,,,,,,,,,,
,g,34,86.429,77.967,0.03022,0.00339,0.11209,0.02683,0.02834,5.61%,0.04546,50.44%,0.01712,405.56%,,1730,2597,0.02814,4.87%,0.04158,37.60%,0.01344,296.93%,,4021,1526,0.04599,71.42%,0.07643,152.93%,0.03044,798.65%,,595,295,0.04080,52.07%,0.03312,23.42%,0.01688,-37.10%,0.04080,52.07%,0.03312,23.42%,0.01688,-37.10%,0.04080,52.07%,0.03312,23.42%,0.01688,-37.10%,0.03634,35.44%,0.03298,22.91%,0.01804,-32.76%,0.03634,35.44%,0.03298,22.91%,0.01804,-32.76%,0.03634,35.44%,0.03298,22.91%,0.01804,-32.76%,,,,,,,,,,,,,,,,,,,,,
,h,217,49.11,43.648,0.12222,0.03472,0.28406,0.08750,0.10429,19.19%,0.12158,-0.52%,0.01729,-50.20%,,1730,2597,0.09958,13.80%,0.12454,1.90%,0.02497,-28.09%,,4021,1526,0.09127,4.31%,0.12318,0.78%,0.03191,-8.10%,,595,295,0.10955,25.19%,0.09553,9.17%,0.06349,-27.44%,0.10955,25.19%,0.09553,9.17%,0.06349,-27.44%,0.10955,25.19%,0.09553,9.17%,0.06349,-27.44%,0.10738,22.71%,0.10088,15.29%,0.07026,-19.71%,0.10738,22.71%,0.10088,15.29%,0.07026,-19.71%,0.10738,22.71%,0.10088,15.29%,0.07026,-19.71%,,,,,,,,,,,,,,,,,,,,,
