"","Null.r","Truly.exceptional","Except.depaup.crown.0.0","Except.diverse.crown.0.0","Pval.crown.0.0","Except.depaup.stem.0.0","Except.diverse.stem.0.0","Pval.stem.0.0","Except.depaup.crown.0.5","Except.diverse.crown.0.5","Pval.crown.0.5","Except.depaup.stem.0.5","Except.diverse.stem.0.5","Pval.stem.0.5","Except.depaup.crown.0.9","Except.diverse.crown.0.9","Pval.crown.0.9","Except.depaup.stem.0.9","Except.diverse.stem.0.9","Pval.stem.0.9"
"R.j",0.10396,FALSE,FALSE,TRUE,1.87735282538671e-07,FALSE,TRUE,9.60872816975224e-07,FALSE,TRUE,0.000161602410297624,FALSE,TRUE,0.000471136081052815,FALSE,FALSE,0.0806027752574594,FALSE,FALSE,0.147248590305235
"S.a",0.06175,FALSE,FALSE,FALSE,0.0555741962863812,FALSE,FALSE,0.419859468416945,FALSE,FALSE,0.213936793132146,FALSE,FALSE,0.285530122579535,FALSE,FALSE,0.212441990943497,FALSE,FALSE,0.209723453376105
"S.b",0.10891,FALSE,FALSE,TRUE,2.93026336483295e-38,FALSE,TRUE,3.20174340707217e-24,FALSE,TRUE,6.40958134679337e-22,FALSE,TRUE,6.07374534397336e-14,FALSE,TRUE,3.12216011826206e-07,FALSE,TRUE,7.61512899155661e-05
"S.c",0.1451,FALSE,FALSE,FALSE,0.493998008641935,FALSE,FALSE,0.939788661126185,FALSE,FALSE,0.67532758158257,FALSE,FALSE,0.660368842915575,FALSE,FALSE,0.54197129910093,FALSE,FALSE,0.433494351214886
"S.d",0.10494,FALSE,FALSE,FALSE,0.2331222519246,FALSE,FALSE,0.389637503629893,FALSE,FALSE,0.431138899428127,FALSE,FALSE,0.254571383205529,FALSE,FALSE,0.30809986162128,FALSE,FALSE,0.155702280678865
"S.e",0.22873,FALSE,FALSE,FALSE,0.957752644294368,FALSE,FALSE,0.885469828191381,FALSE,FALSE,0.99245020141956,FALSE,FALSE,0.740629928556905,FALSE,FALSE,0.541559335190906,FALSE,FALSE,0.285502321997849
"S.f",0.21097,FALSE,FALSE,FALSE,0.0689209548938443,FALSE,FALSE,0.121098568972586,FALSE,FALSE,0.195876231427719,FALSE,FALSE,0.375557236797995,FALSE,FALSE,0.608319573416204,FALSE,FALSE,0.924382295113625
"S.g",0.10034,FALSE,FALSE,FALSE,0.105199181411484,FALSE,TRUE,0.0210455655432618,FALSE,FALSE,0.273439623397982,FALSE,FALSE,0.140363974487227,FALSE,FALSE,0.886399420065938,FALSE,FALSE,0.873499696305296
"S.h",0.07901,FALSE,FALSE,FALSE,0.946732963821007,FALSE,FALSE,0.642416811829112,FALSE,FALSE,0.983561199744358,FALSE,FALSE,0.399200776897986,FALSE,FALSE,0.553441659007144,FALSE,FALSE,0.159997159756659
"S.i",0.06984,FALSE,FALSE,FALSE,0.963945733561377,FALSE,FALSE,0.778319452738296,FALSE,FALSE,0.952827172680405,FALSE,FALSE,0.826230599034231,FALSE,FALSE,0.496398133333355,FALSE,FALSE,0.31158081797321
